epoch,step,train_loss,val_loss
0,0,1.8130470514297485,
0,1,1.8028979301452637,
0,2,1.7958370447158813,
0,3,1.80878484249115,
0,4,1.7960119247436523,
0,5,1.7964972257614136,
0,6,1.8134722709655762,
0,7,1.8146198987960815,
0,8,1.767486333847046,
0,9,1.8060798645019531,
0,10,1.7579787969589233,
0,11,1.7853906154632568,
0,12,1.7634755373001099,
0,13,1.7930030822753906,
0,14,1.7621015310287476,
0,15,1.7495440244674683,
0,16,1.7991236448287964,
0,17,1.7965024709701538,
0,18,1.7455363273620605,
0,19,1.7719956636428833,
0,20,1.7727757692337036,
0,21,1.758957028388977,
0,22,1.7175344228744507,
0,23,1.7723037004470825,
0,24,1.771952509880066,
0,25,1.7218348979949951,
0,26,1.6967296600341797,
0,27,1.7507985830307007,
0,28,1.7093108892440796,
0,29,1.7141989469528198,
0,30,1.6877601146697998,
0,31,1.6974083185195923,
0,32,1.6866402626037598,
0,33,1.6490256786346436,
0,34,1.660942792892456,
0,35,1.719907522201538,
0,36,1.665190577507019,
0,37,1.7084894180297852,
0,38,1.6681941747665405,
0,39,1.6019065380096436,
0,40,1.6607611179351807,
0,41,1.606371283531189,
0,42,1.5643646717071533,
0,43,1.541126012802124,
0,44,1.569767951965332,
0,45,1.570345163345337,
0,46,1.4988603591918945,
0,47,1.485827922821045,
0,48,1.4659534692764282,
0,49,1.5042213201522827,
0,50,1.4596039056777954,
0,51,1.4594875574111938,
0,52,1.4251635074615479,
0,53,1.441916584968567,
0,54,1.391076683998108,
0,55,1.4099081754684448,
0,56,1.3548574447631836,
0,57,1.3933473825454712,
0,58,1.3574182987213135,
0,59,1.288603663444519,
0,60,1.275760531425476,
0,61,1.320124626159668,
0,62,1.238258719444275,
0,63,1.2647123336791992,
0,64,1.2004740238189697,
0,65,1.225653052330017,
0,66,1.191069483757019,
0,67,1.1679924726486206,
0,68,1.1854335069656372,
0,69,1.1453111171722412,
0,70,1.1345956325531006,
0,71,1.120287299156189,
0,72,1.119757056236267,
0,73,1.118257999420166,
0,74,1.1076610088348389,
0,75,1.1108951568603516,
0,76,1.0775094032287598,
0,77,1.0889748334884644,
0,78,1.0395045280456543,
0,79,1.0461894273757935,
0,80,1.0321733951568604,
0,81,1.0479602813720703,
0,82,1.0542335510253906,
0,83,1.015692114830017,
0,84,1.0055910348892212,
0,85,1.0127876996994019,
0,86,1.0131758451461792,
0,87,0.970954179763794,
0,88,0.9945277571678162,
0,89,0.9943229556083679,
0,90,0.9688897132873535,
0,91,0.9698354005813599,
0,92,0.9795825481414795,
0,93,0.9763070344924927,
0,94,0.954564094543457,
0,95,0.9746367335319519,
0,96,0.9557154178619385,
0,97,0.9781262874603271,
0,98,0.9676305651664734,
0,99,0.9551400542259216,
0,100,0.9412728548049927,
0,101,0.9657424092292786,
0,102,0.9457710385322571,
0,103,0.9501830339431763,
0,104,0.9676006436347961,
0,105,0.9467484354972839,
0,106,0.9552348852157593,
0,107,0.9465899467468262,
0,108,0.9458005428314209,
0,109,0.9290931224822998,
0,110,0.9439864754676819,
0,111,0.9354957342147827,
0,112,0.9347041845321655,
0,113,0.9419059157371521,
0,114,0.9375032782554626,
0,115,0.9340317249298096,
0,116,0.9438089728355408,
0,117,0.9448273777961731,
0,118,0.9414411187171936,
0,119,0.9372345209121704,
0,120,0.9166476130485535,
0,121,0.9351641535758972,
0,122,0.9543454051017761,
0,123,0.920621931552887,
0,124,0.9309675693511963,
0,125,0.9241319894790649,
0,126,0.943477988243103,
0,127,0.9295005798339844,
0,128,0.9267438650131226,
0,129,0.9214792847633362,
0,130,0.9162186980247498,
0,131,0.930120587348938,
0,132,0.9251822233200073,
0,133,0.9451239109039307,
0,134,0.9328498244285583,
0,135,0.9470039010047913,
0,136,0.929268479347229,
0,137,0.9207252860069275,
0,138,0.9213120341300964,
0,139,0.9181500673294067,
0,140,0.9360985159873962,
0,141,0.932349681854248,
0,142,0.9303751587867737,
0,143,0.9369543194770813,
0,144,0.9257574677467346,
0,145,0.9196105599403381,
0,146,0.9476845860481262,
0,147,0.9298530220985413,
0,148,0.9333755970001221,
0,149,0.9310023188591003,
0,150,0.9009768962860107,
0,151,0.9221900105476379,
0,152,0.9092515707015991,
0,153,0.9145286679267883,
0,154,0.9157588481903076,
0,155,0.9293079972267151,
0,156,0.9152286052703857,
0,157,0.9311094284057617,
0,158,0.9171358346939087,
0,159,0.9039300680160522,
0,160,0.9260320663452148,
0,161,0.9325004816055298,
0,162,0.9087117314338684,
0,163,0.9150195121765137,
0,164,0.9171673655509949,
0,165,0.9557750821113586,
0,166,0.9032315611839294,
0,167,0.9203476905822754,
0,168,0.9054667353630066,
0,169,0.9264501333236694,
0,170,0.9229758381843567,
0,171,0.9273756742477417,
0,172,0.9125992655754089,
0,173,0.914739727973938,
0,174,0.9340380430221558,
0,175,0.9195383191108704,
0,176,0.9184812903404236,
0,177,0.9188194274902344,
0,178,0.9131491780281067,
0,179,0.9198896288871765,
0,180,0.9299218058586121,
0,181,0.9209531545639038,
0,182,0.9112235307693481,
0,183,0.8983494639396667,
0,184,0.9220941662788391,
0,185,0.899696946144104,
0,186,0.9066653251647949,
0,187,0.9211899042129517,
0,188,0.9032642841339111,
0,189,0.9138298630714417,
0,190,0.903420627117157,
0,191,0.8982848525047302,
0,192,0.9095825552940369,
0,193,0.9082182049751282,
0,194,0.9145750403404236,
0,195,0.9062961935997009,
0,196,0.9204414486885071,
0,197,0.9032237529754639,
0,198,0.9056994915008545,
0,199,0.9056756496429443,
0,200,0.8939311504364014,
0,201,0.8927165865898132,
0,202,0.9085876941680908,
0,203,0.9078871011734009,
0,204,0.9106307029724121,
0,205,0.9015418887138367,
0,206,0.9101234674453735,
0,207,0.9082531929016113,
0,208,0.8990446925163269,
0,209,0.8976925015449524,
0,210,0.8896004557609558,
0,211,0.8919100165367126,
0,212,0.894930899143219,
0,213,0.9153636693954468,
0,214,0.9030826687812805,
0,215,0.8915822505950928,
0,216,0.9019196033477783,
0,217,0.9036906957626343,
0,218,0.895262598991394,
0,219,0.8928858041763306,
0,220,0.9096960425376892,
0,221,0.9076616764068604,
0,222,0.9079504013061523,
0,223,0.9038288593292236,
0,224,0.892979085445404,
0,225,0.9014790058135986,
0,226,0.9010267853736877,
0,227,0.8980374336242676,
0,228,0.8965544104576111,
0,229,0.8872804045677185,
0,230,0.905870258808136,
0,231,0.910230815410614,
0,232,0.8963330388069153,
0,233,0.8960865139961243,
0,234,0.894441545009613,
0,235,0.9027352333068848,
0,236,0.9150792360305786,
0,237,0.9005295634269714,
0,238,0.898608386516571,
0,239,0.8974395990371704,
0,240,0.8883872628211975,
0,241,0.8892062306404114,
0,242,0.8947241902351379,
0,243,0.901149570941925,
0,244,0.8789194226264954,
0,245,0.9074572324752808,
0,246,0.8990207314491272,
0,247,0.8935750126838684,
0,248,0.8875342011451721,
0,249,0.8867592215538025,
0,250,0.9089799523353577,
0,251,0.888322114944458,
0,252,0.8926833868026733,
0,253,0.8911591172218323,
0,254,0.9075142741203308,
0,255,0.8902949094772339,
0,256,0.9015106558799744,
0,257,0.8906584978103638,
0,258,0.8919461369514465,
0,259,0.9002665281295776,
0,260,0.8864468336105347,
0,261,0.897373378276825,
0,262,0.8978909850120544,
0,263,0.8835651874542236,
0,264,0.8692007064819336,
0,265,0.8884186148643494,
0,266,0.8962870240211487,
0,267,0.8986749053001404,
0,268,0.9069284200668335,
0,269,0.900023341178894,
0,270,0.8740688562393188,
0,271,0.8958576321601868,
0,272,0.8781075477600098,
0,273,0.8697582483291626,
0,274,0.8811773657798767,
0,275,0.8804005980491638,
0,276,0.8851372003555298,
0,277,0.8821852803230286,
0,278,0.8633369207382202,
0,279,0.8804183006286621,
0,280,0.8865556120872498,
0,281,0.8920920491218567,
0,282,0.8788920640945435,
0,283,0.8747947216033936,
0,284,0.8722089529037476,
0,285,0.870667040348053,
0,286,0.8875330686569214,
0,287,0.8794969320297241,
0,288,0.8791912198066711,
0,289,0.8619964122772217,
0,290,0.8693932294845581,
0,291,0.8833963871002197,
0,292,0.8821655511856079,
0,293,0.8672045469284058,
0,294,0.8757623434066772,
0,295,0.8982436656951904,
0,296,0.8845899701118469,
0,297,0.8652933835983276,
0,298,0.8832096457481384,
0,299,0.8864189386367798,
0,300,0.8986184000968933,
0,301,0.895107090473175,
0,302,0.8786069750785828,
0,303,0.8734679818153381,
0,304,0.8768894672393799,
0,305,0.8772159218788147,
0,306,0.8758734464645386,
0,307,0.8782679438591003,
0,308,0.863735556602478,
0,309,0.8682444095611572,
0,310,0.8761337399482727,
0,311,0.8944597840309143,
0,312,0.877012312412262,
0,313,0.8845754265785217,
0,314,0.8578770160675049,
0,315,0.8691218495368958,
0,316,0.8604499101638794,
0,317,0.8609560132026672,
0,318,0.8571605086326599,
0,319,0.8681337237358093,
0,320,0.8834542632102966,
0,321,0.8757200837135315,
0,322,0.8611244559288025,
0,323,0.8603293299674988,
0,324,0.8752055168151855,
0,325,0.8752099275588989,
0,326,0.8815939426422119,
0,327,0.8530719876289368,
0,328,0.8758776783943176,
0,329,0.8623929619789124,
0,330,0.8750311732292175,
0,331,0.867074728012085,
0,332,0.8785222172737122,
0,333,0.8637942671775818,
0,334,0.8767538666725159,
0,335,0.8753188252449036,
0,336,0.8516943454742432,
0,337,0.8657388091087341,
0,338,0.8626136779785156,
0,339,0.8765390515327454,
0,340,0.849527895450592,
0,341,0.8557161688804626,
0,342,0.858689546585083,
0,343,0.8769260048866272,
0,344,0.8669924139976501,
